id,name,host_id,neighbourhood_cleansed,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365
837540304896394526,Waterside Cabin,503360511,Zehlendorf  Südwest,52.39612670432604,13.16012102929534,Entire home/apt,127.0,3,30,2024-11-19,1.69,182
988865069359139315,Grüne Oase Nähe Stadtzentrum,65023990,Alt-Hohenschönhausen Süd,52.5453396,13.4909282,Entire home/apt,250.0,3,2,2024-08-31,0.29,19
11538198,Studio Apartment direkt am Kudamm,8912086,Kurfürstendamm,52.50093,13.3248,Entire home/apt,129.0,30,17,2024-12-14,0.18,88
14306417,Lichtdurchflutete 2-Zimmer-Whg in Baumschulenweg,80861390,Baumschulenweg,52.46604,13.48825,Entire home/apt,114.0,6,30,2024-08-19,0.32,77
898370608173991263,"Blueground | Prenzlauer Berg, nr Winsviertel",434485440,Prenzlauer Berg Süd,52.5313995,13.4349094,Entire home/apt,96.0,90,0,,0.0,231
880158390857828347,Family Friendly Flat in the Heart of Alt-Köpenick,238667700,Altstadt-Kietz,52.44544636710092,13.577246484655785,Entire home/apt,90.0,95,0,,0.0,358
51538388,gemütliches Zimmer in Berlin,189712516,Fennpfuhl,52.53162,13.46957,Private room,70.0,2,160,2023-07-17,3.92,342
1306679,rightinthemiddle! Nähe Mauerpark,7101186,Brunnenstr. Süd,52.53844,13.40199,Entire home/apt,104.0,2,275,2024-12-08,1.97,60
39552501,Neu renoviertes Apartment in Berlin,265415759,Friedenau,52.47093,13.33511,Entire home/apt,214.0,1,21,2024-11-09,0.34,141
2110953,Lichtdurchflutetes Designer Loft,4065834,südliche Luisenstadt,52.49433,13.43273,Entire home/apt,130.0,92,0,,0.0,358
829356727420550161,Room in Treptow for 1 person,19019034,Karlshorst,52.482947,13.507225,Private room,46.0,2,49,2024-10-06,2.76,165
1203970282600359877,Berlin City 102,543714208,Moabit West,52.53105792443429,13.3335662876188,Entire home/apt,78.0,1,9,2024-10-17,2.52,362
838164030506074332,Gemühtlich und 10 Min. zur Messe,106694332,Barstraße,52.48676529999999,13.3183193,Private room,78.0,5,7,2024-12-01,0.32,334
23677956,Cosy & Clean Studio with Atmosphere,177318290,Prenzlauer Berg Süd,52.53073,13.43008,Entire home/apt,92.0,2,309,2024-12-04,3.78,161
818571592339930572,Hausboot mieten in Berlin - Fiona oder Moritz,94604574,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.37890014144392,13.64684402963869,Entire home/apt,200.0,2,4,2024-09-07,0.24,26
1297671853815420884,"Großartiges, modisches Loft",191359249,Nord 2,52.61143140000001,13.3364872,Entire home/apt,236.0,92,0,,0.0,365
20474862,Bungalow im schönen Garten,144925518,Mahlsdorf,52.5094,13.62155,Entire home/apt,30.0,7,81,2024-12-08,0.91,321
9536912,Premium Loft-Apartment (150sqm) with Terrace,3003519,Moabit West,52.53292,13.32682,Entire home/apt,295.0,2,468,2024-12-19,4.79,259
19683019,Freundliches Zimmer im angesagten Neukölln,134115755,Rixdorf,52.47513,13.44256,Private room,66.0,2,74,2024-10-18,0.82,157
28687007,Kuschelige Einzimmerwohnung mit Sauna und Küche,826078,Ostpreußendamm,52.43434,13.32605,Entire home/apt,75.0,5,104,2024-11-16,1.37,35
2929033,"Bright, Central One-Bedroom",3329707,Karl-Marx-Allee-Süd,52.51802,13.42955,Entire home/apt,162.0,3,87,2024-10-28,0.72,9
17968986,Appartement (23 m²) Berlin-Pankow /Franz.-Buchholz,123399045,Buchholz,52.60302,13.43274,Entire home/apt,61.0,2,186,2024-11-24,2.03,142
1028964485008042189,Stylish room in Schöneberg,547224886,Schöneberg-Nord,52.48947,13.36167,Private room,45.0,1,97,2024-12-02,7.56,240
21456676,Little CityApartment 3or5 for Two,1315189,Regierungsviertel,52.50974,13.39119,Entire home/apt,118.0,3,110,2024-10-19,1.26,82
27551986,Luxurious loft style apartment S74,126138928,Schloßstr.,52.46374,13.31721,Entire home/apt,96.0,2,90,2024-12-15,1.17,303
1044057605329253360,"Modern 3-room flat, 2 bathsrooms",45499567,Karl-Marx-Allee-Süd,52.51312,13.43336,Entire home/apt,100.0,92,0,,0.0,323
17230578,Cozy room in comfortable 260qm house w breakfast,105573256,West 2,52.62002,13.22691,Private room,50.0,3,125,2024-10-29,1.31,170
696858215799453972,Luxuriöses Hausboot an der Berliner Oberhavel,43838853,West 2,52.60373126523584,13.20731398965968,Entire home/apt,160.0,3,17,2024-09-29,0.96,365
1440278,TownHouse with amazing view and roof top terrace!,2486507,Frankfurter Allee Süd FK,52.49822,13.47007,Entire home/apt,413.0,2,108,2024-12-01,1.12,358
1209152254464916412,Ferienwohnung kleines Steglitz,156172913,Friedenau,52.46713,13.32535,Entire home/apt,136.0,1,1,2024-08-11,0.23,360
1312146866258567317,time4staying 3 SZ Luxus-Maisonette nahe Kudamm,580322547,Barstraße,52.49096058377448,13.321221795770247,Entire home/apt,233.0,2,0,,0.0,361
31890149,Pandoras home - city west - 75 qm,239040287,Friedenau,52.46817,13.32625,Entire home/apt,179.0,3,14,2024-10-14,0.21,252
39886188,Numa | Large Studio w/ Kitchenette near Mauerpark,302243245,Prenzlauer Berg Südwest,52.53246,13.41873,Entire home/apt,129.0,1,264,2024-11-17,4.28,324
51416370,"Modern City Apt, New and Exclusive, Fast Wifi, TV",416193979,Karlshorst,52.483467,13.528755,Entire home/apt,229.0,2,37,2023-07-30,0.96,142
1173213211783486585,Sunny Oasis 15min from Alex!,63609433,Weißensee,52.5510988,13.4594485,Entire home/apt,63.0,92,0,,0.0,354
18524158,Romantic Style Apartment Berlin nähe S-Bahnhof,2569632,Dammvorstadt,52.45629,13.58236,Entire home/apt,151.0,3,78,2024-08-05,0.85,339
839785100464723034,Apartment near the lake in the Down Town Motel,12214221,Müggelheim,52.413350486558166,13.661477587798757,Entire home/apt,175.0,2,29,2024-11-01,1.35,282
652010498666127825,1 room in a Sharing apartment  in Neukölln,13501540,Schillerpromenade,52.46596442470355,13.431757866019709,Private room,61.0,2,38,2024-10-13,1.26,122
38831108,Großzügiges 2 Zimmer-Apartment mit separater Küche,8912086,Volkspark Wilmersdorf,52.48543,13.32774,Entire home/apt,119.0,60,2,2024-08-01,0.03,155
45383134,"Modern Room, Berlin-Friedrichshain",40494047,Frankfurter Allee Süd FK,52.506,13.467,Private room,50.0,2,78,2024-12-09,1.53,87
23071933,Small but nice Apartment,171289244,Frankfurter Allee Nord,52.52655,13.45275,Entire home/apt,70.0,1,506,2024-12-19,6.12,209
37443723,Cool and very central room in Friedrichshain,83547809,Karl-Marx-Allee-Süd,52.5169,13.43227,Private room,56.0,3,186,2024-12-01,2.88,82
1128176873810295467,Homaris Apartments Schlüterstraße,386848467,Kurfürstendamm,52.50176,13.31649,Entire home/apt,59.0,1,13,2024-11-28,1.6,341
1273730233920853545,Berlin Dream,215694095,Bohnsdorf,52.39048570788454,13.562006168067455,Entire home/apt,210.0,3,3,2024-11-22,2.37,60
949859428970911191,Nice and huge Basement@Kreuzberg,302404,Tempelhofer Vorstadt,52.49347976303012,13.399739786842977,Entire home/apt,100.0,3,23,2024-08-19,1.47,261
923013237667372980,Habyt-The Waterfront,522317630,Neu Lichtenberg,52.50281440137663,13.475979707905887,Private room,66.0,1,186,2024-12-16,11.55,359
1200742188103624556,A lovely flat in Alt-Tempelhof,41575044,Tempelhof,52.464095491546686,13.38377278059371,Entire home/apt,112.0,1,14,2024-12-13,3.53,26
26354179,Stylish Spacious Fully-Fitted Studio with Balcony,10565944,Volkspark Wilmersdorf,52.48669791600463,13.3350913140843,Entire home/apt,65.0,92,10,2024-06-28,0.13,149
42421569,Superior Zimmer im Hotel Brandies nahe Messe,337659501,Westend,52.51036,13.2807,Private room,137.0,1,3,2024-05-31,0.09,290
1313065430517614920,Einfach Wohlfühlen in Wassernähe - super zentral!,153605860,Grünau,52.42360704315335,13.576838848130468,Entire home/apt,48.0,2,0,,0.0,174
39738916,Beautiful Apartment in Berlin,265415759,Friedenau,52.4712,13.33524,Entire home/apt,217.0,1,29,2024-06-02,0.47,161
45522353,Cozy and Central Private Room in Berlin Moabit,82324046,Moabit Ost,52.52353,13.35418,Private room,45.0,2,203,2024-12-08,3.94,356
968877295746673943,Quiet room in garden apartment,26047384,Alt-Lichtenberg,52.514737676142026,13.491151242327874,Private room,66.0,1,45,2024-11-04,3.06,262
859922894268065114,"14 Blue Chili Berlin - Cosy Flat, top location",441059765,Alt-Lichtenberg,52.5135943,13.5006767,Entire home/apt,80.0,2,54,2024-12-08,2.84,330
696110248643795731,"Neu sanierte Wohnung nahe S-Bahn & Bus, sehr ruhig",475586406,Zehlendorf  Südwest,52.42835493665972,13.20570742750855,Entire home/apt,92.0,4,16,2024-10-18,0.62,294
11225429,Doppelzimmer City Flat Nähe Ku´damm,29616872,Düsseldorfer Straße,52.49277,13.31754,Private room,65.0,4,1,2016-06-07,0.01,2
45476593,quiet apartment near Wannsee,105481069,Gatow / Kladow,52.46044,13.13285,Entire home/apt,68.0,5,22,2024-09-28,0.44,351
797905515277201919,The heart of Kreuzberg,33922141,Tempelhofer Vorstadt,52.49015265459671,13.383532650768757,Entire home/apt,141.0,1,10,2024-10-01,1.65,51
696306469196877312,Moderne Wohnung in Ruhiger Umgebung nahe Messe,403471909,Westend,52.51934114760478,13.264997117221355,Entire home/apt,89.0,2,107,2024-12-13,3.8,39
646125561988128922,Gemütliches Zimmer mit  Blick auf den Fernsehturm,32258704,Köllnische Heide,52.47060900489822,13.464310728714556,Private room,51.0,2,66,2024-10-25,2.23,340
775137464572453906,Bellevue.1 by Suite.030,102979040,Tiergarten Süd,52.50989,13.37342,Entire home/apt,199.0,92,2,2023-09-30,0.11,142
1289303037561947058,Staywell: Geräumige Wohnung am Schloss Bellevue,651589805,Moabit Ost,52.51982,13.35606,Entire home/apt,308.0,1,3,2024-12-08,2.81,60
41496692,Großzügige Beletage-Wohnung mit Garten,12627365,Zehlendorf  Südwest,52.43214,13.20382,Entire home/apt,164.0,4,14,2024-09-21,0.24,17
926697125580215812,Panorama Hausboot,523246901,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.3786,13.64799,Entire home/apt,240.0,2,6,2024-07-14,0.34,364
1285306496154810293,Friedrichshain-kleines komfortables Studio*Toplage,116200754,Karl-Marx-Allee-Nord,52.52057637587829,13.434016174256834,Entire home/apt,126.0,3,0,,0.0,365
11224996,Einzelzimmer City Flat Nähe Ku´damm,29616872,Düsseldorfer Straße,52.49459,13.31773,Private room,50.0,4,2,2016-06-25,0.02,0
1050061877849092541,"Modernes, neues Studioappartment in Berlin",43938328,Albrechtstr.,52.44727,13.34752,Entire home/apt,76.0,92,1,2024-06-30,0.17,264
